input_param,cas_number,ParamDesc,input_unit,parameter_id,conversion,unit_solid,result_type,matrix_state,sample_fraction,sample_fraction_AC,result_value_type,result_speciation_id,result_speciation_AC,NEW_param_needed,NEW_speciation_needed,NEW_fraction_needed,NEW_protocol_needed,FLAG_AC_params_edit,FLAG_review,FLAG_notes_combined,ignore,result_offset,mapping_status
Potassium40,13966-00-2,Potassium40,Bq/L,1428,1,"",2,1,,,1,,,Potassium-40,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
P-PO4_IC,14265-44-2,"Phosphate as P, as an anion by Ion Chromatography",mg/L,1041,1,"",3,1,5,5,1,23,23,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
P-PO4T,"","Phosphorus, Total Phosphate as P",mg/L,1041,1,"",2,1,19,19,1,23,23,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
P-PO4T_S,"","Phosphorus, Total; for sediment samples. Analyzed by colourimetry.",mg/kg,1045,1,mg/kg,3,2,19,19,1,23,23,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
Propanil,"","Herbicide, C9H9Cl2NO",µg/L,956,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
propanolol,525-66-6,Beta Blockers,ng/l,1429,1,"",3,1,,,1,,,propanolol,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
PropyleneGlycol,"","Propylene glycol 1,2",mg/L,573,1,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
prothioconazole,"",Current Use Pesticides,ng/l,779,1e-06,"",3,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
P-T,"","Phosphorus, total (not colourmetric)",mg/L,1045,1,"",2,1,19,19,1,23,23,"","",,"",,TRUE,SOURCE_FIELDS_RESTORED_FROM_EQWIN_CATALOG,FALSE,0,mapped_existing_parameter
P-T_S,"","Phosphorus, Total Phosphate in Sediment, as P",mg/kg,1111,1,mg/kg,2,2,19,19,1,,,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
P-TDP,"","Phosphorus, Total Dissolved Phosphate as P",mg/L,1041,1,"",2,1,5,5,1,23,23,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
P-TI,"","Phosphorus, Total Inorganic",mg/L,1111,1,"",2,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
P-TO,"","Phosphorus, Total Organic",mg/L,1040,1,"",2,1,19,19,1,23,23,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
P-TR_S,"","Phosphorus, Total Reacitve Phosphate in Sediment,",mg/kg,1111,1,mg/kg,2,2,19,19,1,,,"","",,"",,TRUE,SOURCE_FIELDS_RESTORED_FROM_EQWIN_CATALOG; UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
P-TRP,"","Phosphorus, Total Reactive (Ortho) Phosphate as P",mg/L,1043,1,"",2,1,19,19,1,23,23,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Pt-T,"",PLATINUM TOTAL,mg/L,1112,1,"",3,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
PurgeVol,"",Volume of water purged from well prior to sampling,L,1430,1,"",1,1,,,1,,,Volume of water purged from well prior to sampling,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Pyrene,"",Pyrene,ng/L,577,1e-06,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
quin,"",Quinoline,ng/L,578,1e-06,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Radium223,444811-40-9,Radium223,Bq/L,1431,1,"",2,1,,,1,,,Radium-223,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Radium226,"",Radium226,Bq/L,1432,1,"",2,1,,,1,,,"Radium-226, Bq/L","",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Radium228,"",Radium228,Bq/L,1433,1,"",2,1,,,1,,,"Radium-228, Bq/L","",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Radon219,14835-02-0,Radon219,Bq/L,1434,1,"",2,1,,,1,,,Radon-219,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Rb-D,"","Rubidium, dissolved",mg/L,1117,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Rb-T,"","Rubidium, total",mg/L,1117,1,"",2,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Re-D,"","Rhenium (re), Dissolved",mg/L,1116,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Retene,"",Retene,ng/L,581,1e-06,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
S2O3,7772-98-7,Thiosulphate as Total Thiosalt,mg/L,1435,1,"",2,1,,,1,,,thiosulfate,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Saccharin,"",Saccharin,ng/L,582,1e-06,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sali-Acid,"",Salicylic Acid,ng/L,583,1e-06,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sb-D,"","Antimony, dissolved",mg/L,1047,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Sb-E,"","Antimony, extractable",mg/L,1047,1,"",2,1,6,6,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
