param_name,MethodSpeciation,SampleFraction,DataStream_group,CASNumber,group,subgroup,unit_default,unit_solid
Praseodymium,No,Yes,"Inorganics, Minor, Metals",7440-10-0,inorganics,metals,mg/l,mg/kg
Radium,No,Yes,"Inorganics, Minor, Metals",7440-14-4,inorganics,metals,mg/l,mg/kg
Rhenium,No,Yes,"Inorganics, Minor, Metals",7440-15-5,inorganics,metals,mg/l,mg/kg
Rubidium,No,Yes,"Inorganics, Minor, Metals",7440-17-7,inorganics,metals,mg/l,mg/kg
Ruthenium,No,Yes,"Inorganics, Minor, Metals",7440-18-8,inorganics,metals,mg/l,mg/kg
Samarium,No,Yes,"Inorganics, Minor, Metals",7440-19-9,inorganics,metals,mg/l,mg/kg
Scandium,No,Yes,"Inorganics, Minor, Metals",7440-20-2,inorganics,metals,mg/l,mg/kg
Selenate,No,Yes,"Inorganics, Minor, Non-metals",14124-68-6,inorganics,non-metals,mg/l,mg/kg
Selenite,No,Yes,"Inorganics, Minor, Non-metals",14124-67-5,inorganics,non-metals,mg/l,mg/kg
Selenium,No,Yes,"Inorganics, Minor, Non-metals",7782-49-2,inorganics,non-metals,mg/l,mg/kg
Silica,No,No,"Inorganics, Major, Non-metals",7631-86-9,inorganics,non-metals,mg/l,mg/kg
"Silica, reactive",No,No,"Inorganics, Major, Non-metals",7631-86-9,inorganics,non-metals,mg/l,mg/kg
Silicate,No,No,"Inorganics, Major, Non-metals",12627-13-3,inorganics,non-metals,mg/l,mg/kg
Silicon,No,Yes,"Inorganics, Major, Non-metals",7440-21-3,inorganics,non-metals,mg/l,mg/kg
Silver,No,Yes,"Inorganics, Minor, Metals",7440-22-4,inorganics,metals,mg/l,mg/kg
Sodium,No,Yes,"Inorganics, Major, Metals",7440-23-5,inorganics,metals,mg/l,mg/kg
Strontium,No,Yes,"Inorganics, Minor, Metals",7440-24-6,inorganics,metals,mg/l,mg/kg
Sulfate,No,Yes,"Inorganics, Major, Non-metals",14808-79-8,inorganics,non-metals,mg/l,mg/kg
Sulfide,No,No,"Inorganics, Major, Non-metals",18496-25-8,inorganics,non-metals,mg/l,mg/kg
Sulfur,No,Yes,"Inorganics, Major, Non-metals",7704-34-9,inorganics,non-metals,mg/l,mg/kg
Sulfur Total,No,No,"Inorganics, Major, Non-metals", ,inorganics,non-metals,mg/l,mg/kg
Tantalum,No,Yes,"Inorganics, Minor, Metals",7440-25-7,inorganics,metals,mg/l,mg/kg
Tellurium,No,Yes,"Inorganics, Minor, Non-metals",13494-80-9,inorganics,non-metals,mg/l,mg/kg
Terbium,No,Yes,"Inorganics, Minor, Metals",7440-27-9,inorganics,metals,mg/l,mg/kg
Thallium,No,Yes,"Inorganics, Minor, Metals",7440-28-0,inorganics,metals,mg/l,mg/kg
Thorium,No,Yes,"Inorganics, Minor, Metals", ,inorganics,metals,mg/l,mg/kg
Tin,No,Yes,"Inorganics, Minor, Metals",7440-31-5,inorganics,metals,mg/l,mg/kg
Titanium,No,Yes,"Inorganics, Minor, Metals",7440-32-6,inorganics,metals,mg/l,mg/kg
Tungsten,No,Yes,"Inorganics, Minor, Metals",7440-33-7,inorganics,metals,mg/l,mg/kg
Vanadium,No,Yes,"Inorganics, Minor, Metals",7440-62-2,inorganics,metals,mg/l,mg/kg
Ytterbium,No,Yes,"Inorganics, Minor, Metals",7440-64-4,inorganics,metals,mg/l,mg/kg
Yttrium,No,Yes,"Inorganics, Minor, Metals",7440-65-5,inorganics,metals,mg/l,mg/kg
Zinc,No,Yes,"Inorganics, Minor, Metals",7440-66-6,inorganics,metals,mg/l,mg/kg
Zirconium,No,Yes,"Inorganics, Minor, Metals",7440-67-7,inorganics,metals,mg/l,mg/kg
Sum of anions,No,No,Physical, ,physical,,meq/L,
Sum of cations,No,No,Physical, ,physical,,meq/L,
"flow",No,No,Physical, ,physical,,m3/s,
Surface area,No,No,Physical, ,physical,,m2,
"Light, underwater extinction coefficient (K)",No,No,Physical, ,physical,,m⁻¹,
Velocity - water,No,No,Physical, ,physical,,m/s,
Velocity - wind,No,No,Physical, ,physical,,m/s,
Bankfull Height,No,No,Physical, ,physical,,m,
Bankfull width,No,No,Physical, ,physical,,m,
Depth of water column,No,No,Physical, ,physical,,m,
"Depth, Secchi disk depth",No,No,Physical, ,physical,,m,
Distance From Left Bank,No,No,Physical, ,physical,,m,
Distance,No,No,Physical,,physical,,m,
Ice thickness,No,No,Physical, ,physical,,m,
Ionic strength,No,No,Physical, ,physical,,M,
"Light attenuation, depth at 99%",No,No,Physical, ,physical,,m,
Stream width measure,No,No,Physical, ,physical,,m,
Water level,No,No,Physical, ,physical,,m,
Water level below ground surface,No,No,Physical, ,physical,,m,
Wetted Width,No,No,Physical, ,physical,,m,
White ice thickness,No,No,Physical, ,physical,,m,
Delta lithium-7/lithium-6,No,No,Stable Isotopes,,stable isotopes,,LSVEC,LSVEC
Barometric pressure,No,No,Physical, ,physical,,kPa,
Partial Pressure CO2,No,No,Physical, ,physical,,kPa,
Pressure,No,No,Physical, ,physical,,kPa,
"Day, ice on",No,No,Physical,,physical,,doy,
"Day, ice off",No,No,Physical,,physical,,doy,
Absorbance at 250 nm,No,No,Physical, ,physical,,dimensionless,
Absorbance at 254 nm,No,No,Physical, ,physical,,dimensionless,
Absorbance at 280 nm,No,No,Physical, ,physical,,dimensionless,
Absorbance at 330 nm,No,No,Physical, ,physical,,dimensionless,
Absorbance at 350 nm,No,No,Physical, ,physical,,dimensionless,
Absorbance at 365 nm,No,No,Physical, ,physical,,dimensionless,
Absorbance at 370 nm,No,No,Physical, ,physical,,dimensionless,
Apparent color,No,No,Physical, ,physical,,dimensionless,
Color,No,No,Physical, ,physical,,dimensionless,
Fluorescence index,No,No,Physical, ,physical,,dimensionless,
Fluorescent dissolved organic matter (FDOM),No,No,Physical, ,physical,,dimensionless,
Hilsenhoff Biotic Index,No,No,Physical, ,physical,,dimensionless,
Langelier Saturation Index,No,No,Physical, ,physical,,dimensionless,
Odor threshold number,No,No,Physical, ,physical,,dimensionless,
"pH, field",No,No,Physical, ,physical,,dimensionless,
"pH, lab",No,No,Physical, ,physical,,dimensionless,
Saturation Index Aragonite,No,No,Physical, ,physical,,dimensionless,
Specific UV Absorbance at 250 nm,No,No,Physical, ,physical,,dimensionless,
Specific UV Absorbance at 254 nm,No,No,Physical, ,physical,,dimensionless,
"Specific UV Absorbance at 254 nm, corrected for Fe",No,No,Physical, ,physical,,dimensionless,
Specific UV Absorbance at 310 nm,No,No,Physical, ,physical,,dimensionless,
Specific UV Absorbance at 340 nm,No,No,Physical, ,physical,,dimensionless,
Specific UV Absorbance at 360 nm,No,No,Physical, ,physical,,dimensionless,
Specific UV Absorbance at 365 nm,No,No,Physical, ,physical,,dimensionless,
Specific UV Absorbance at 510 nm,No,No,Physical, ,physical,,dimensionless,
UV 254,No,No,Physical, ,physical,,dimensionless,
River/stream channel slope,No,No,Physical, ,physical,,degrees,
"Wind direction (direction from, expressed 0-360 deg)",No,No,Physical, ,physical,,degrees,
Ice cover duration,No,No,Physical,,physical,,days,
True color,No,No,Physical, ,physical,,CU,
"Taxonomic Richness, Ephemeroptera, Plecoptera, Trichoptera",No,No,Biological, ,biological,other,count,
"Coliform/Streptococcus ratio, fecal",No,No,Microbiological, ,biological,microbiological,count,
Coliphage,No,No,Microbiological, ,biological,microbiological,count,
Cryptosporidium,No,No,Microbiological, ,biological,microbiological,count,
Enterococcus,No,No,Microbiological, ,biological,microbiological,count,
Escherichia coli,No,No,Microbiological,68583-22-2,biological,microbiological,count,
Fecal Coliform,No,No,Microbiological, ,biological,microbiological,count,
Fecal Streptococcus Group Bacteria,No,No,Microbiological, ,biological,microbiological,count,
Giardia,No,No,Microbiological, ,biological,microbiological,count,
Heterotrophic bacteria,No,No,Microbiological, ,biological,microbiological,count,
Human Enteric viruses,No,No,Microbiological, ,biological,microbiological,count,
Pseudomonas aeruginosa,No,No,Microbiological,68583-29-9,biological,microbiological,count,
Salmonella,No,No,Microbiological, ,biological,microbiological,count,
Streptococcus,No,No,Microbiological, ,biological,microbiological,count,
Total Coliform,No,No,Microbiological, ,biological,microbiological,count,
"Depth, snow",No,No,Physical, ,physical,,cm,
"Precipitation, snow",No,No,Physical, ,physical,,cm,
"Transparency, tube with disk",No,No,Physical, ,physical,,cm,
"Gross alpha radioactivity, (Americium-241 ref std) ",No,No,Radiochemical, ,radiochemical,,Bq/L,Bq/kg
"Gross beta radioactivity, (Cesium-137 ref std)",No,No,Radiochemical, ,radiochemical,,Bq/L,Bq/kg
Delta nitrogen-15/nitrogen-14,Yes,No,Stable Isotopes, ,stable isotopes,,AIR,AIR
Conductivity,No,No,Physical, ,physical,,µS/cm,
Specific conductance,No,No,Physical, ,physical,,µS/cm,
"Light, photosynthetic active radiation (PAR)",No,No,Physical, ,physical,,µmol/m²/s,
Chlorophyll a - Periphyton (attached),No,No,"Biological, Photosynthetic Pigments",479-61-8,biological,photosynthetic pigments,µg/L,µg/g
"Chlorophyll a, corrected for pheophytin",No,No,"Biological, Photosynthetic Pigments",479-61-8,biological,photosynthetic pigments,µg/L,µg/g
"Chlorophyll a, pheophytin correction unspecified",No,No,"Biological, Photosynthetic Pigments",479-61-8,biological,photosynthetic pigments,µg/L,µg/g
"Chlorophyll a, uncorrected for pheophytin",No,No,"Biological, Photosynthetic Pigments",479-61-8,biological,photosynthetic pigments,µg/L,µg/g
Chlorophyll b,No,No,"Biological, Photosynthetic Pigments",519-62-0,biological,photosynthetic pigments,µg/L,µg/g
Pheophytin,No,No,"Biological, Photosynthetic Pigments",603-17-8,biological,photosynthetic pigments,µg/L,µg/g
Pheophytin a,No,No,"Biological, Photosynthetic Pigments",603-17-8,biological,photosynthetic pigments,µg/L,µg/g
Phycocyanin,No,No,"Biological, Photosynthetic Pigments",11016-15-2,biological,photosynthetic pigments,µg/L,µg/g
Microcystin,No,No,"Cyanotoxins, Phytotoxins",77238-39-2,biological,cyano/phytotoxins,µg/L,
Microcystin dRR,No,No,"Cyanotoxins, Phytotoxins",131022-02-1,biological,cyano/phytotoxins,µg/L,
Microcystin HilR,No,No,"Cyanotoxins, Phytotoxins", ,biological,cyano/phytotoxins,µg/L,
Microcystin HtyR,No,No,"Cyanotoxins, Phytotoxins", ,biological,cyano/phytotoxins,µg/L,
Microcystin LA,No,No,"Cyanotoxins, Phytotoxins",96180-79-9,biological,cyano/phytotoxins,µg/L,
Microcystin LF,No,No,"Cyanotoxins, Phytotoxins",154037-70-4,biological,cyano/phytotoxins,µg/L,
Microcystin LR,No,No,"Cyanotoxins, Phytotoxins",101043-37-2,biological,cyano/phytotoxins,µg/L,
"Microcystin LR, Desmethyl",No,No,"Cyanotoxins, Phytotoxins",120011-66-7,biological,cyano/phytotoxins,µg/L,
Microcystin LW,No,No,"Cyanotoxins, Phytotoxins",157622-02-1,biological,cyano/phytotoxins,µg/L,
Microcystin LY,No,No,"Cyanotoxins, Phytotoxins",123304-10-9,biological,cyano/phytotoxins,µg/L,
Microcystin RR,No,No,"Cyanotoxins, Phytotoxins",111755-37-4,biological,cyano/phytotoxins,µg/L,
Microcystin WR,No,No,"Cyanotoxins, Phytotoxins",138234-58-9,biological,cyano/phytotoxins,µg/L,
Microcystin YR,No,No,"Cyanotoxins, Phytotoxins",101064-48-6,biological,cyano/phytotoxins,µg/L,
"Temperature, air",No,No,Physical, ,physical,,°C,
"Temperature, water",No,No,Physical, ,physical,,°C,
"Temperature, equipment",No,No,Physical,,physical,,°C,
Dissolved oxygen saturation,No,No,Physical, ,physical,,%,
"Ice cover, floating or solid, as % area estimate",No,No,Physical, ,physical,,%,
Ion Balance,No,No,Physical, ,physical,,%,
Moisture content,No,No,Physical, ,physical,,%,
Snow cover as % area estimate,No,No,Physical, ,physical,,%,
Snow cover on ice as % area estimate,No,No,Physical, ,physical,,%,
"Sodium, Percent Total Cations",No,No,"Inorganics, Major, Metals", ,inorganics,metals,%,%
Filamentous Algae Cover,No,No,"Biological, Habitat, Filamentous Algae", ,biological,other,%,
Macrophyte cover,No,No,Biological, ,biological,other,%,
